
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-8-2,91,77,63,65,57,46,93,51,19,30.00,29.95,29.89,10,10,10,9,2,14,0.00,2,,120<br />
2015-8-3,96,81,65,69,63,45,100,59,21,29.95,29.92,29.89,10,10,10,12,4,21,0.00,2,,248<br />
2015-8-4,97,85,72,71,67,63,90,63,35,30.01,29.97,29.93,10,10,7,13,3,17,0.00,4,,260<br />
2015-8-5,92,82,72,72,70,68,90,70,49,30.00,29.97,29.91,10,9,4,16,6,21,0.12,7,Rain-Thunderstorm,85<br />
2015-8-6,81,76,70,70,68,66,90,80,69,29.92,29.87,29.79,10,8,2,15,7,18,1.01,7,Rain-Thunderstorm,217<br />
2015-8-7,84,77,69,67,66,64,84,70,55,29.94,29.88,29.83,10,10,7,10,4,17,0.00,7,,333<br />
2015-8-8,88,77,66,68,66,63,93,71,48,29.99,29.94,29.88,10,9,6,14,4,18,0.00,4,Fog,31<br />
2015-8-9,94,81,68,71,67,60,90,62,33,30.01,29.96,29.91,10,10,7,9,2,13,0.00,3,Fog,55<br />
2015-8-10,92,83,73,72,70,67,87,67,47,29.95,29.90,29.85,10,10,10,15,5,22,T,6,,243<br />
2015-8-11,90,83,75,71,67,61,87,65,43,30.03,29.96,29.90,10,10,10,17,6,24,0.00,3,,344<br />
2015-8-12,88,78,68,65,60,53,79,57,34,30.11,30.07,30.04,10,10,10,17,8,26,0.00,1,,9<br />
2015-8-13,87,74,61,59,56,52,84,58,32,30.13,30.09,30.06,10,10,10,16,6,22,0.00,1,,35<br />
2015-8-14,89,77,64,68,64,57,84,68,51,30.15,30.11,30.09,10,9,1,24,3,30,0.26,6,Rain-Thunderstorm,80<br />
2015-8-15,86,78,70,70,67,62,90,71,51,30.17,30.13,30.09,10,10,10,14,3,18,T,5,Rain-Thunderstorm,108<br />
2015-8-16,86,78,69,70,67,63,90,69,48,30.21,30.14,30.08,10,9,1,16,3,21,0.33,7,Rain-Thunderstorm,154<br />
2015-8-17,77,75,72,70,69,68,93,88,82,30.14,30.06,29.99,10,8,4,12,5,17,0.46,8,Rain,87<br />
2015-8-18,88,80,72,72,70,68,87,71,55,29.99,29.93,29.84,10,10,9,14,5,17,0.00,5,,138<br />
2015-8-19,90,81,72,73,71,66,93,73,52,29.93,29.87,29.83,10,9,0,20,8,26,0.66,6,Rain-Thunderstorm,199<br />
2015-8-20,84,75,65,69,61,53,93,65,37,30.07,30.00,29.90,10,9,2,13,4,20,0.03,7,Rain,325<br />
2015-8-21,84,73,61,62,57,53,90,62,34,30.14,30.09,30.05,10,10,10,10,3,16,0.00,3,,71<br />
2015-8-22,89,77,65,71,65,61,87,68,48,30.10,30.05,29.99,10,10,6,8,2,12,0.02,6,Rain,127<br />
2015-8-23,91,81,71,70,69,67,93,72,50,30.02,29.97,29.91,10,10,9,9,4,17,T,5,Rain,260<br />
2015-8-24,84,74,64,70,57,51,79,57,34,30.05,30.02,29.98,10,10,10,16,8,21,0.00,3,,343<br />
2015-8-25,83,70,57,54,51,45,86,57,28,30.08,30.05,30.01,10,10,10,15,6,23,0.00,0,,351<br />
2015-8-26,83,70,57,56,53,51,86,62,37,30.12,30.08,30.05,10,10,10,15,6,21,0.00,2,,6<br />
2015-8-27,84,71,58,57,54,49,84,58,31,30.13,30.09,30.06,10,10,10,20,6,25,0.00,0,,44<br />
2015-8-28,90,76,62,64,59,56,84,58,32,30.14,30.08,30.03,10,10,10,14,5,17,0.00,2,,136<br />
2015-8-29,89,80,70,69,66,65,84,69,53,30.15,30.09,30.06,10,10,8,20,6,28,0.10,4,Rain,178<br />
2015-8-30,81,75,68,67,65,61,90,74,58,30.16,30.09,30.06,10,10,10,13,4,15,0.00,6,,153<br />
2015-8-31,88,77,65,66,63,60,93,67,40,30.15,30.09,30.06,10,10,7,10,2,15,0.00,2,Fog,136<br />
2015-9-1,90,79,67,68,65,63,93,68,43,30.15,30.10,30.06,10,10,9,9,2,13,0.00,5,Fog,79<br />
2015-9-2,93,82,70,70,67,63,90,64,38,30.13,30.06,29.99,10,10,7,12,2,15,0.00,6,,92<br />
2015-9-3,95,84,73,71,66,60,87,60,33,30.03,29.97,29.91,10,10,7,10,3,14,0.00,3,,83<br />
2015-9-4,95,83,71,69,65,60,90,62,33,30.04,30.00,29.96,10,10,7,10,2,20,0.00,1,,93<br />
2015-9-5,95,83,70,69,65,57,90,62,33,30.11,30.06,30.01,10,9,5,24,3,33,T,2,,91<br />
2015-9-6,92,81,70,67,66,62,84,61,38,30.14,30.08,30.03,10,10,9,14,4,18,0.00,3,,156<br />
2015-9-7,91,80,69,67,63,59,90,64,37,30.12,30.05,29.99,10,9,6,10,3,14,0.00,1,,164<br />
2015-9-8,92,80,68,67,65,64,87,64,41,30.04,29.98,29.89,10,10,9,15,6,18,0.00,2,,178<br />
2015-9-9,92,82,72,72,69,62,87,63,38,29.95,29.90,29.85,10,8,2,21,4,26,0.32,7,Rain-Thunderstorm,209<br />
2015-9-10,87,77,67,70,67,61,93,71,48,29.93,29.89,29.83,10,8,2,15,4,23,0.10,6,Rain,308<br />
2015-9-11,87,76,64,66,63,60,93,69,45,29.94,29.89,29.86,10,8,1,20,4,40,1.02,6,Rain-Thunderstorm,283<br />
2015-9-12,75,66,56,61,54,44,87,63,38,30.02,29.95,29.91,10,10,10,22,8,29,0.00,5,,330<br />
2015-9-13,74,62,50,49,45,39,86,58,29,30.14,30.09,30.02,10,10,10,13,4,21,0.00,1,,303<br />
2015-9-14,80,65,49,52,47,44,86,58,30,30.27,30.20,30.14,10,10,10,12,3,17,0.00,0,Fog,128<br />
2015-9-15,84,69,54,55,51,47,86,57,28,30.33,30.27,30.24,10,10,10,14,3,18,0.00,1,,150<br />
2015-9-16,85,72,59,56,54,49,87,59,31,30.33,30.25,30.18,10,10,10,15,5,20,0.00,1,,154<br />
2015-9-17,86,72,58,60,56,53,86,60,34,30.19,30.11,30.02,10,10,10,10,3,13,0.00,1,,167<br />
2015-9-18,89,74,59,62,59,56,90,62,34,30.05,29.97,29.91,10,10,10,12,2,24,0.00,1,,172<br />
2015-9-19,90,77,63,66,62,59,90,65,40,30.01,29.95,29.90,10,10,6,16,6,21,0.00,6,,322<br />
2015-9-20,83,72,61,61,55,51,78,57,36,30.07,30.02,29.98,10,10,10,14,7,18,0.00,6,,6<br />
2015-9-21,80,68,56,53,49,45,72,51,30,30.10,30.06,30.01,10,10,10,14,6,21,0.00,5,,21<br />
2015-9-22,84,68,52,54,51,48,89,59,29,30.18,30.12,30.07,10,10,9,14,4,18,0.00,0,,31<br />
2015-9-23,87,70,53,58,53,49,86,58,29,30.19,30.13,30.08,10,10,10,9,2,21,0.00,1,,18<br />
2015-9-24,89,74,59,60,56,51,87,58,29,30.15,30.10,30.05,10,10,10,10,3,14,0.00,3,,24<br />
2015-9-25,77,71,65,63,60,55,93,72,50,30.06,30.04,30.03,10,9,2,12,6,14,0.13,7,Rain,62<br />
2015-9-26,76,70,64,67,64,61,93,81,69,30.10,30.06,30.02,10,7,1,15,5,18,0.50,8,Rain,79<br />
2015-9-27,81,74,67,66,65,62,93,76,58,30.13,30.07,30.01,10,10,10,13,4,15,T,7,,141<br />
2015-9-28,80,74,68,69,67,65,90,79,67,30.03,29.98,29.92,10,10,9,6,2,9,T,8,Rain,100<br />
2015-9-29,78,74,69,70,67,66,93,81,69,29.92,29.88,29.82,10,9,2,15,5,28,0.18,7,Rain,334<br />
2015-9-30,71,67,62,65,62,57,87,82,76,29.99,29.92,29.85,10,8,3,18,10,24,0.03,8,Rain,356<br />
2015-10-1,63,60,57,57,54,51,93,83,72,30.02,29.98,29.94,10,8,2,21,12,25,0.10,8,Rain,6<br />
2015-10-2,59,57,54,54,52,50,89,82,75,29.97,29.94,29.92,10,7,1,16,12,22,0.41,8,Rain,11<br />
2015-10-3,55,53,51,50,49,47,89,86,83,29.89,29.87,29.84,10,8,2,18,10,28,0.05,8,Rain,2<br />
2015-10-4,77,65,53,62,57,50,93,77,60,29.96,29.92,29.89,10,6,0,14,7,24,0.01,7,Rain,343<br />
2015-10-5,85,71,57,62,60,56,93,69,44,30.02,29.98,29.94,10,10,4,12,4,16,0.00,3,,5<br />
2015-10-6,87,74,61,62,58,54,93,63,32,30.06,30.02,29.99,10,10,10,12,4,15,0.00,2,,15<br />
2015-10-7,86,73,59,60,56,51,90,60,30,30.11,30.06,30.01,10,10,10,10,2,15,0.00,1,,73<br />
2015-10-8,87,73,59,64,60,56,90,65,40,30.10,30.05,30.00,10,10,9,10,4,14,0.00,4,,196<br />
2015-10-9,85,74,62,66,61,57,93,68,43,30.13,30.06,30.00,10,8,2,21,6,26,0.50,7,Rain-Thunderstorm,307<br />
2015-10-10,71,61,50,59,52,46,90,67,44,30.14,30.10,30.06,10,9,5,22,7,28,0.08,6,Rain,12<br />
2015-10-11,73,59,45,52,47,43,93,66,38,30.08,29.99,29.89,10,9,5,9,3,13,0.00,2,Fog,158<br />
2015-10-12,83,67,50,62,52,46,93,65,36,29.90,29.80,29.67,10,10,7,20,7,23,0.37,3,Fog-Rain-Thunderstorm,187<br />
2015-10-13,75,63,51,60,51,42,96,66,21,29.94,29.82,29.73,10,8,3,13,5,17,0.00,0,Fog,248<br />
2015-10-14,79,63,46,48,43,37,93,56,23,30.06,30.00,29.93,10,10,10,14,3,23,0.00,0,,241<br />
2015-10-15,81,64,47,52,46,40,93,57,25,30.17,30.10,30.02,10,10,7,12,3,16,0.00,1,,171<br />
2015-10-16,71,58,44,48,33,22,65,34,16,30.32,30.24,30.12,10,10,10,18,7,24,T,3,,354<br />
2015-10-17,63,51,39,35,30,25,85,45,25,30.41,30.36,30.31,10,10,10,16,7,22,0.00,1,,339<br />
2015-10-18,63,51,38,33,27,22,70,42,20,30.54,30.46,30.40,10,10,10,15,6,21,0.00,0,,33<br />
2015-10-19,71,53,34,38,33,30,89,51,22,30.46,30.38,30.29,10,10,10,13,4,16,0.00,0,Fog,178<br />
2015-10-20,73,58,42,42,39,37,76,50,27,30.38,30.31,30.25,10,10,10,14,5,17,0.00,1,,177<br />
2015-10-21,79,62,46,51,46,41,86,59,32,30.37,30.30,30.25,10,10,10,12,4,16,0.00,0,,181<br />
2015-10-22,81,66,50,51,49,47,89,59,30,30.33,30.26,30.21,10,10,9,9,3,12,0.00,1,,151<br />
2015-10-23,82,67,51,57,53,47,89,62,39,30.22,30.14,30.05,10,10,10,13,3,17,T,5,,153<br />
2015-10-24,74,70,65,63,61,58,93,73,64,30.11,30.08,30.04,10,10,10,15,6,21,0.03,8,Rain,183<br />
2015-10-25,69,63,57,62,54,53,87,82,72,30.24,30.20,30.10,10,10,7,17,9,21,0.08,8,Rain,22<br />
2015-10-26,63,60,56,59,56,51,90,87,80,30.20,30.16,30.12,10,8,2,13,7,16,0.63,8,Rain,58<br />
2015-10-27,61,60,58,58,57,54,93,89,87,30.10,29.97,29.74,10,5,2,18,11,23,1.73,8,Rain,100<br />
2015-10-28,72,64,56,63,57,52,93,79,53,29.79,29.71,29.64,10,9,4,22,8,28,0.19,6,Rain-Thunderstorm,210<br />
2015-10-29,71,58,45,55,42,31,89,53,31,30.04,29.89,29.78,10,10,8,16,7,24,0.00,4,,286<br />
2015-10-30,64,51,38,44,37,32,85,56,36,30.17,30.10,30.05,10,10,10,12,2,17,0.00,3,,52<br />
2015-10-31,64,58,51,57,48,42,87,70,44,30.07,29.96,29.84,10,10,4,18,5,23,0.14,8,Rain,169<br />
2015-11-1,63,61,59,58,57,55,93,89,84,30.04,29.98,29.90,10,5,0,10,3,14,0.02,8,Fog-Rain,41<br />
2015-11-2,72,65,57,63,59,55,97,85,73,30.03,29.98,29.94,10,7,2,12,3,18,0.01,5,Fog-Rain,18<br />
2015-11-3,72,64,56,61,58,54,100,87,70,30.15,30.09,30.03,10,4,0,8,1,16,0.00,7,Fog,51<br />
2015-11-4,76,68,59,63,60,57,93,79,60,30.21,30.16,30.12,10,10,6,9,3,12,0.00,6,Fog,175<br />
2015-11-5,80,73,66,66,63,60,87,76,54,30.21,30.13,30.02,10,10,10,18,8,23,0.00,6,,171<br />
2015-11-6,75,68,60,66,61,50,87,76,66,30.15,30.09,30.02,10,10,4,24,7,36,0.42,8,Rain,243<br />
2015-11-7,60,55,50,47,39,34,69,50,37,30.35,30.28,30.15,10,10,10,16,10,21,0.00,8,,12<br />
2015-11-8,64,54,43,36,32,28,65,41,28,30.36,30.29,30.20,10,10,10,18,8,23,0.00,5,,46<br />
2015-11-9,57,54,50,54,50,35,93,85,43,30.21,30.15,30.11,10,4,1,13,3,18,0.13,8,Rain,8<br />
2015-11-10,67,56,45,52,44,35,93,68,34,30.19,30.12,30.07,10,10,7,10,2,16,T,3,,299<br />
2015-11-11,74,58,41,55,46,38,89,60,35,30.07,29.94,29.75,10,10,9,23,8,31,0.00,3,,172<br />
2015-11-12,66,58,49,61,44,34,87,57,31,30.14,29.94,29.73,10,9,2,22,9,29,0.06,4,Rain,251<br />
2015-11-13,62,50,37,37,25,12,70,39,14,30.34,30.26,30.15,10,10,10,18,5,31,0.00,0,,304<br />
2015-11-14,62,47,31,32,28,23,82,52,23,30.47,30.42,30.35,10,10,10,7,2,10,0.00,1,,159<br />
2015-11-15,64,49,34,37,30,24,89,52,23,30.46,30.38,30.29,10,10,7,10,2,13,0.00,5,,153<br />
2015-11-16,58,50,42,48,41,29,77,64,51,30.29,30.22,30.12,10,10,10,10,4,15,0.02,8,Rain,113<br />
2015-11-17,74,65,55,55,52,47,77,61,53,30.11,29.97,29.83,10,10,10,31,16,39,0.00,8,,143<br />
2015-11-18,68,60,51,63,56,46,93,80,59,29.96,29.81,29.69,10,7,1,32,14,44,1.42,7,Rain,173<br />
2015-11-19,66,55,43,47,39,30,92,59,40,30.31,30.15,29.98,10,10,9,15,7,26,0.00,0,Fog,319<br />
2015-11-20,58,47,35,34,25,18,89,45,23,30.37,30.25,30.09,10,10,10,17,5,23,0.00,2,Fog,69<br />
2015-11-21,66,50,34,43,33,23,86,61,43,30.22,30.08,29.92,10,10,7,24,12,32,0.01,5,Rain,278<br />
2015-11-22,43,35,26,24,18,10,69,50,27,30.29,30.24,30.21,10,10,10,15,7,26,0.00,3,,352<br />
2015-11-23,56,39,22,27,21,13,84,53,23,30.32,30.28,30.24,10,10,10,14,6,21,0.00,0,,198<br />
2015-11-24,61,45,29,33,29,25,85,55,29,30.44,30.37,30.32,10,10,10,8,3,10,0.00,5,,172<br />
2015-11-25,66,53,39,41,35,28,64,48,37,30.47,30.40,30.35,10,10,10,22,10,26,0.00,3,,157<br />
2015-11-26,72,62,52,47,43,36,62,49,41,30.54,30.47,30.42,10,10,10,21,11,26,0.00,4,,170<br />
2015-11-27,70,63,55,52,51,47,77,62,53,30.41,30.34,30.25,10,10,10,18,9,24,T,7,Rain,171<br />
2015-11-28,65,63,60,59,57,52,97,82,63,30.25,30.20,30.16,10,9,4,15,6,18,0.28,8,Rain,183<br />
2015-11-29,62,57,51,58,54,48,96,91,86,30.19,30.10,30.00,10,4,0,16,6,21,1.84,8,Rain,34<br />
2015-11-30,63,57,50,59,52,48,93,88,77,30.08,30.01,29.92,10,7,2,15,4,21,0.63,8,Rain,209<br />
2015-12-1,64,58,51,61,52,45,97,85,77,30.00,29.94,29.88,10,7,2,18,6,23,0.66,8,Rain,258<br />
2015-12-2,54,47,39,46,37,29,86,66,45,30.16,29.97,29.88,10,10,10,18,7,24,0.00,6,,273<br />
2015-12-3,48,41,33,29,26,25,75,59,42,30.48,30.36,30.17,10,10,10,13,7,18,0.00,0,,1<br />
2015-12-4,56,42,28,32,28,24,85,60,32,30.61,30.56,30.48,10,10,7,9,4,14,0.00,0,Fog,31<br />
2015-12-5,60,44,28,36,30,25,92,63,33,30.64,30.57,30.49,10,10,7,9,2,12,0.00,0,,127<br />
2015-12-6,62,46,30,41,35,26,85,64,40,30.50,30.39,30.26,10,10,9,14,4,17,0.00,4,,184<br />
2015-12-7,60,49,38,42,38,35,85,62,44,30.29,30.22,30.15,10,10,10,9,3,26,0.00,2,,316<br />
2015-12-8,64,48,31,40,34,30,92,61,32,30.16,30.07,29.99,10,10,7,15,6,38,0.00,1,Fog,178<br />
2015-12-9,59,51,43,49,44,34,86,73,60,29.98,29.94,29.90,10,9,7,15,7,18,0.00,5,,196<br />
2015-12-10,62,51,40,53,47,39,96,85,64,30.00,29.93,29.85,10,5,0,16,7,20,0.00,6,Fog,184<br />
2015-12-11,73,64,54,61,57,52,93,76,61,30.00,29.93,29.87,10,9,4,21,10,28,0.00,6,,182<br />
2015-12-12,70,63,56,59,57,54,93,75,66,30.17,30.12,30.01,10,10,8,17,8,23,0.00,6,,180<br />
2015-12-13,76,67,58,56,54,52,80,60,50,30.08,29.90,29.65,10,10,10,33,16,45,0.00,7,,163<br />
2015-12-14,71,62,52,55,47,41,86,65,46,29.84,29.68,29.59,10,8,2,40,13,52,0.55,5,Rain,223<br />
2015-12-15,68,56,43,45,43,41,96,68,44,29.96,29.90,29.86,10,10,10,8,2,13,0.00,0,,185<br />
2015-12-16,70,55,40,54,46,38,89,70,45,29.92,29.85,29.78,10,10,9,16,4,21,0.04,5,Rain,178<br />
2015-12-17,57,45,33,51,32,27,86,60,38,30.07,29.94,29.79,10,10,10,17,8,23,T,4,Rain,333<br />
2015-12-18,42,35,28,27,21,14,75,56,32,30.37,30.22,30.06,10,10,10,17,7,24,0.00,5,,288<br />
2015-12-19,52,41,29,26,22,17,75,49,30,30.54,30.49,30.38,10,10,10,12,4,15,0.00,0,,244<br />
2015-12-20,57,43,28,31,26,23,85,52,32,30.51,30.38,30.22,10,10,10,22,7,28,0.00,5,,172<br />
2015-12-21,61,55,48,57,48,27,93,75,38,30.20,30.03,29.87,10,9,4,24,14,32,0.43,8,Rain,180<br />
2015-12-22,70,63,56,61,59,55,93,83,66,29.94,29.86,29.78,10,8,1,16,7,22,0.81,8,Fog-Rain,189<br />
2015-12-23,70,67,64,64,61,59,87,80,73,29.78,29.66,29.53,10,10,7,35,16,44,0.03,8,Rain-Thunderstorm,179<br />
2015-12-24,74,64,54,62,53,48,86,69,41,30.08,29.97,29.71,10,10,10,10,4,15,0.00,2,,200<br />
2015-12-25,69,63,56,64,59,54,93,90,84,30.15,30.09,29.99,10,4,0,12,6,26,1.17,8,Fog-Rain-Thunderstorm,14<br />
2015-12-26,75,66,57,65,61,55,93,85,68,30.17,30.11,30.01,10,8,0,24,9,32,0.55,7,Fog-Rain-Thunderstorm,160<br />
2015-12-27,76,68,59,65,60,55,90,73,60,30.03,29.97,29.91,10,10,10,26,13,33,T,8,Rain,186<br />
2015-12-28,74,63,52,64,57,40,90,75,51,29.90,29.72,29.52,10,9,1,33,13,44,0.68,6,Rain,151<br />
2015-12-29,53,49,44,40,39,37,83,66,59,30.18,30.07,29.85,10,10,10,10,5,16,0.00,6,,243<br />
2015-12-30,50,47,44,43,39,37,83,73,66,30.25,30.21,30.15,10,10,10,10,4,20,0.00,8,,306<br />
2015-12-31,44,40,35,37,30,26,76,68,64,30.40,30.34,30.24,10,10,10,14,8,21,0.00,8,,351<br />
